Step    -1: 10001 ms
Step    -1: 10001 ms
Step    -1: 10000 ms
Step    -1:  1899 ms
Step    -1:    47 ms
Step    -1:   867 ms
Step    -1:    49 ms
Step    -1:   874 ms
Step    -1:   137 ms
Step    -1:   770 ms
Step    -1: 31,20/0 ? | 31,22/0 ? | 32,23/0 se| 31,24/0 n | 31,28/0 ? | 32,29/0 ? |   253 ms
Step    28: 24,16/* sk| 35,26/* sk| 32,21/0 se| 23,14/0 w | 23, 5/0 sw| 28,41/0 s | 21,45/0 sw| 30,37/0 sw| 40,34/2 e | 26,47/0 ne|  3593 ms
Step    29: 24,16/* sk| 35,26/* sk| 32,21/1 se| 23,14/1 w | 23, 5/1 sw| 28,41/1 se| 21,45/1 n | 30,37/1 sw| 41,34/0 nw| 27,46/0 n |    28 ms
Step    29: 24,16/* sk| 35,26/* sk| 33,22/0 se| 22,14/0 w | 23, 6/0 sw| 29,42/0 se| 21,45/2 n | 30,37/2 sw| 41,34/1 nw| 27,46/1 n |  3569 ms
Step    30: 24,16/* sk| 35,26/* sk| 34,23/0 se| 22,15/0 s | 23, 6/1 se| 30,43/0 se| 20,46/0 nw| 31,38/0 sw| 40,33/0 nw| 28,45/0 se|  3670 ms
Step    31: 24,16/* sk| 35,26/* sk| 35,24/0 s | 22,15/1 s | 22, 7/0 n | 30,44/0 s | 19,45/0 nw| 29,40/0 sw| 39,32/0 s | 28,45/1 e |  3687 ms
Step    32: 24,16/* sk| 35,26/* sk| 35,24/1 s | 22,16/0 sw| 22, 7/1 sw| 30,44/1 sw| 19,45/1 nw| 29,40/1 sw| 39,32/1 nw| 29,46/0 se|  3647 ms
Step    33: 24,16/* sk| 35,26/* sk| 35,25/0 s | 22,16/1 sw| 22, 7/2 sw| 29,45/0 sw| 18,44/0 nw| 28,41/0 w | 39,33/0 nw| 29,46/1 se|    63 ms
Step    33: 24,16/* sk| 35,26/* sk| 35,25/1 ne| 21,17/0 sk| 22, 6/0 ne| 29,45/1 ne| 18,44/1 nw| 27,42/0 w | 39,33/1 nw| 29,46/2 se|  3525 ms
Step    34: 24,16/* sk| 35,26/* sk| 35,25/2 ne| 21,17/1 sk| 22, 6/1 ne| 28,46/0 ne| 17,43/0 nw| 27,42/1 nw| 39,33/2 se| 30,47/0 ne|  3550 ms
Step    35: 24,16/* sk| 35,26/* sk| 34,26/0 ne| 21,17/2 sk| 21, 7/0 ne| 29,45/0 ne| 16,42/0 nw| 26,41/0 nw| 38,32/0 ne| 31,48/0 ne|    16 ms
Step    35: 24,16/* sk| 35,26/* sk| 34,26/1 ne| 21,17/3 sk| 21, 7/1 ne| 29,45/1 ne| 16,42/1 ne| 26,41/1 nw| 38,32/1 ne| 31,48/1 e |   214 ms
Step    35: 24,16/* sk| 35,26/* sk| 35,25/0 ne| 21,17/4 sk| 22, 6/0 ne| 29,45/2 ne| 15,43/0 e | 26,41/2 nw| 38,32/2 ne| 31,48/2 e |  3337 ms
Step    36: 24,16/* sk| 35,26/* sk| 35,25/1 ne| 21,17/5 sk| 22, 6/1 ne| 30,44/0 n | 15,43/1 e | 25,40/0 n | 39,31/0 se| 31,48/3 e |   220 ms
Step    36: 24,16/* sk| 35,26/* sk| 36,24/0 se| 21,17/6 sk| 23, 5/0 ne| 30,44/1 n | 16,43/0 ne| 25,40/1 n | 39,30/0 se| 31,48/4 e |  3371 ms
Step    37: 24,16/* sk| 35,26/* sk| 36,24/1 se| 21,17/7 se| 23, 5/1 ne| 30,43/0 sk| 16,43/1 ne| 25,40/2 n | 39,30/1 nw| 32,48/0 sk|   244 ms
Step    37: 24,16/* sk| 35,26/* sk| 37,23/0 sw| 22,18/0 nw| 24, 4/0 e | 30,43/1 sk| 16,43/2 ne| 25,40/3 n | 39,30/2 nw| 32,48/1 sk|  3362 ms
Step    38: 24,16/* sk| 35,26/* sk| 37,23/1 sw| 22,18/1 nw| 24, 4/1 e | 30,43/2 sk| 17,42/0 nw| 25,39/0 n | 39,30/3 nw| 32,48/2 sk|   245 ms
Step    38: 24,16/* sk| 35,26/* sk| 38,24/0 sw| 22,18/2 nw| 25, 3/0 s | 30,43/3 sk| 17,42/1 nw| 25,39/1 ne| 39,30/4 nw| 32,48/3 sk|  3277 ms
Step    39: 24,16/* sk| 35,26/* sk| 38,24/1 sw| 23,19/0 nw| 25, 3/1 s | 30,43/4 sw| 18,41/0 nw| 26,38/0 ne| 38,29/0 n | 32,48/4 sk|    57 ms
Step    39: 24,16/* sk| 35,26/* sk| 38,24/2 sw| 23,19/1 nw| 25, 3/2 s | 30,43/5 sw| 18,41/1 nw| 26,38/1 ne| 38,29/1 n | 32,48/5 e |   110 ms
Step    39: 24,16/* sk| 35,26/* sk| 37,25/0 ne| 22,18/0 nw| 25, 4/0 sk| 30,43/6 sw| 17,41/0 w | 25,37/0 nw| 38,28/0 n | 32,48/6 e |  3389 ms
Step    40: 24,16/* sk| 35,26/* sk| 37,25/1 ne| 22,18/1 nw| 25, 4/1 sk| 30,43/7 se| 17,41/1 w | 25,37/1 ne| 38,28/1 n | 32,48/7 nw|   188 ms
Step    40: 24,16/* sk| 35,26/* sk| 36,26/0 ne| 21,17/0 ne| 25, 4/2 nw| 30,43/8 se| 17,41/2 w | 25,37/2 ne| 38,28/2 n | 32,48/8 nw|  3336 ms
Step    41: 24,16/* sk| 35,26/* sk| 36,26/1 ne| 21,17/1 ne| 25, 4/3 nw| 29,44/0 se| 16,41/0 w | 26,36/0 nw| 37,27/0 ne| 33,48/0 nw|    55 ms
Step    41: 24,16/* sk| 35,26/* sk| 36,26/2 ne| 21,17/2 ne| 25, 4/4 nw| 29,44/1 ne| 16,41/1 w | 26,36/1 nw| 37,27/1 ne| 33,48/1 w |   174 ms
Step    41: 24,16/* sk| 35,26/* sk| 37,25/0 s | 20,18/0 w | 25, 4/5 nw| 29,44/2 ne| 15,41/0 w | 26,36/2 nw| 37,27/2 ne| 33,48/2 w |  3303 ms
Step    42: 24,16/* sk| 35,26/* sk| 37,25/1 s | 20,18/1 w | 25, 4/6 ne| 30,45/0 ne| 15,41/1 w | 25,35/0 sw| 38,26/0 se| 32,48/0 nw|   193 ms
Step    42: 24,16/* sk| 35,26/* sk| 38,24/0 s | 21,17/0 ne| 24, 3/0 ne| 30,45/1 ne| 14,42/0 w | 26,34/0 sw| 38,25/0 se| 32,48/1 nw|  3304 ms
Step    43: 24,16/* sk| 35,26/* sk| 38,24/1 s | 21,17/1 ne| 24, 3/1 ne| 31,44/0 ne| 14,42/1 w | 26,34/1 se| 38,25/1 se| 32,48/2 w |   216 ms
Step    43: 24,16/* sk| 35,26/* sk| 38,24/2 sw| 20,17/0 ne| 24, 3/2 ne| 32,43/0 ne| 14,42/2 nw| 26,34/2 se| 38,25/2 se| 32,48/3 w |  3230 ms
Step    44: 24,16/* sk| 35,26/* sk| 38,24/3 sw| 20,17/1 ne| 25, 2/0 e | 32,43/1 nw| 13,41/0 nw| 27,35/0 sw| 39,26/0 sw| 31,48/0 w |   281 ms
Step    44: 24,16/* sk| 35,26/* sk| 37,25/0 s | 20,17/2 ne| 26, 2/0 se| 33,42/0 nw| 13,41/1 w | 26,36/0 sw| 39,26/1 sw| 30,48/0 w |  3299 ms
